Link_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link_id,Link_throughput_plot,Packet_transmitted,Packet_transmitted,Packet_errored,Packet_errored,Packet_collided,Packet_collided,Bytes_transmitted(bytes),Payload_transmitted(bytes),Overhead_transmitted(bytes),,,,
 , ,Data,Control,Data,Control,Data,Control, , , ,,,,
All,NA,22800,22859,0,0,0,0,35906148,33288000,2618148,,,,
1,Link_throughput,3800,3806,0,0,0,0,6050012,5548000,502012,,,,
2,Link_throughput,7600,7635,0,0,0,0,11706100,11096000,610100,,,,
3,Link_throughput,3800,3806,0,0,0,0,6050012,5548000,502012,,,,
4,Link_throughput,3800,3806,0,0,0,0,6050012,5548000,502012,,,,
5,Link_throughput,3800,3806,0,0,0,0,6050012,5548000,502012,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Queue_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Device_id,Port_id,Queued_packet,Dequeued_packet,Dropped_packet,,,,,,,,,,
3,2,7618,7618,0,,,,,,,,,,
4,1,7617,7617,0,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TCP_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source,Destination,Local Address,Remote Address,Syn Sent,Syn-Ack Sent,Segment Sent,Segment Received,Segment Retransmitted,Ack Sent,Ack Received,Duplicate segment received,Out of order segment received,Duplicate ack received,Times RTO expired
WIRED_NODE_1,ANY_DEVICE,11.1.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_2,ANY_DEVICE,11.3.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
ROUTER_3,ANY_DEVICE,11.1.1.1:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
ROUTER_4,ANY_DEVICE,11.2.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_5,ANY_DEVICE,11.4.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_6,ANY_DEVICE,11.5.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_1,WIRED_NODE_2,11.1.1.2:82,11.3.1.2:36934,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_2,WIRED_NODE_1,11.3.1.2:12668,11.1.1.2:53000,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_5,WIRED_NODE_6,11.4.1.2:38338,11.5.1.2:31448,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_6,WIRED_NODE_5,11.5.1.2:22956,11.4.1.2:58716,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_2,WIRED_NODE_1,11.3.1.2:36934,11.1.1.2:82,0,1,0,1900,0,1900,1,0,0,0,0
WIRED_NODE_1,WIRED_NODE_2,11.1.1.2:53000,11.3.1.2:12668,0,1,0,1900,0,1900,1,0,0,0,0
WIRED_NODE_6,WIRED_NODE_5,11.5.1.2:31448,11.4.1.2:38338,0,1,0,1900,0,1900,1,0,0,0,0
WIRED_NODE_5,WIRED_NODE_6,11.4.1.2:58716,11.5.1.2:22956,0,1,0,1900,0,1900,1,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IP_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Device Id,Packet sent,Packet forwarded,Packet received,Packet discarded,TTL expired,Firewall blocked,,,,,,,,
1,3803,0,3803,0,0,0,,,,,,,,
2,3803,0,3803,0,0,0,,,,,,,,
3,15224,15212,11,0,0,0,,,,,,,,
4,15223,15212,12,0,0,0,,,,,,,,
5,3803,0,3803,0,0,0,,,,,,,,
6,3803,0,3803,0,0,0,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.2 ,999,BROADCAST,,,,,,,,,
0.0.0.0,0.0.0.0,11.1.1.1,11.1.1.2 ,999,DEFAULT,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.3.0.0,255.255.0.0,on-link,11.3.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.3.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.3.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.3.1.2 ,999,BROADCAST,,,,,,,,,
0.0.0.0,0.0.0.0,11.3.1.1,11.3.1.2 ,999,DEFAULT,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ROUTER_3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.2.1.2,255.255.255.255,11.2.1.2,11.2.1.1 ,100,OSPF,,,,,,,,,
11.4.0.0,255.255.0.0,on-link,11.4.1.1 ,300,LOCAL,,,,,,,,,
