Link_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link_id,Link_throughput_plot,Packet_transmitted,Packet_transmitted,Packet_errored,Packet_errored,Packet_collided,Packet_collided,Bytes_transmitted(bytes),Payload_transmitted(bytes),Overhead_transmitted(bytes),,,,
 , ,Data,Control,Data,Control,Data,Control, , , ,,,,
All,NA,22990,23079,0,0,0,0,36208556,33565400,2643156,,,,
1,Link_throughput,3838,3850,0,0,0,0,6110920,5603480,507440,,,,
2,Link_throughput,7638,7679,0,0,0,0,11764876,11151480,613396,,,,
3,Link_throughput,3838,3850,0,0,0,0,6110920,5603480,507440,,,,
4,Link_throughput,3876,3894,0,0,0,0,6171828,5658960,512868,,,,
5,Link_throughput,3800,3806,0,0,0,0,6050012,5548000,502012,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Queue_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Device_id,Port_id,Queued_packet,Dequeued_packet,Dropped_packet,,,,,,,,,,
3,2,7659,7659,0,,,,,,,,,,
4,1,7658,7658,0,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TCP_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source,Destination,Local Address,Remote Address,Syn Sent,Syn-Ack Sent,Segment Sent,Segment Received,Segment Retransmitted,Ack Sent,Ack Received,Duplicate segment received,Out of order segment received,Duplicate ack received,Times RTO expired
WIRED_NODE_1,ANY_DEVICE,11.1.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_2,ANY_DEVICE,11.3.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
ROUTER_3,ANY_DEVICE,11.1.1.1:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
ROUTER_4,ANY_DEVICE,11.2.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_5,ANY_DEVICE,11.4.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_6,ANY_DEVICE,11.5.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_1,WIRED_NODE_2,11.1.1.2:82,11.3.1.2:36934,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_2,WIRED_NODE_1,11.3.1.2:12668,11.1.1.2:53000,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_5,WIRED_NODE_6,11.4.1.2:38338,11.5.1.2:31448,1,0,1900,0,0,1,1900,0,0,0,0
WIRED_NODE_6,WIRED_NODE_5,11.5.1.2:22956,11.4.1.2:58716,1,0,1900,0,0,1,1900,0,0,0,0
